Entity	Entity Type	Entity Subtype	Code	Remarks
	CBRN Equipment		200400	
	Computer System		200500	
	Command Launch Equipment (CLE)		200600	
	Generator Set		200700	
	Ground-based Midcourse Defense (GMD) Fire Control (GFC) Center		200800	
	In-Flight Interceptor Communications System (IFICS) Data Terminal (IDT)		200900	
	Laser		201000	
	Military Information Support Operations (MISO)		201100	
	Sustainment Shipments		201200	
	Tent		201300	
		Civilian	201301	
		Military	201302	
	Unit Deployment Shipments		201400	
	Emergency Medical Operation		201500	
		Medical Evacuation Helicopter	201501	
Land Mines			210000	Reserved for hierarchical purposes.
	Land Mine		210100	
	Antipersonnel Land mine (APL)		210200	
	Antitank Mine		210300	
	Improvised Explosives Device (IED)		210400	
	Less Than Lethal		210500	
Sensors			220000	Reserved for hierarchical purposes.
	Sensor		220100	
	Sensor Emplaced		220200	
	Radar		220300	
Emergency Operation			230000	
	Ambulance		230100	
	Fire Fighting/Fire Protection		230200	
Manual Track			240000	
Rotary Wing			250000	
