Entity	Entity Type	Entity Subtype	Code	Remarks
		Mechanized	141701	
		Motorized	141702	
	Search and Rescue		141800	
	Security Police (Air)		141900	
	Shore Patrol		142000	
	Topographic/Geospatial		142100	
	Missile Defense		142200	
Intelligence			150000	Reserved for hierarchical purposes.
	Analysis		150100	
	Counterintelligence		150200	
	Direction Finding		150300	
	Electronic Ranging		150400	
	Electronic Warfare		150500	
		Analysis	150501	
		Direction Finding	150502	
		Intercept	150503	
		Jamming	150504	
		Search	150505	
	Intercept (Search and Recording)		150600	
	Interrogation		150700	
	Jamming		150800	
	Joint Intelligence Center		150900	
	Military Intelligence		151000	
	Search		151100	
	Sensor		151200	
	Military History		151300	
Sustainment			160000	
	Administrative		160100	
	All Classes of Supply		160200	
	Airport of Debarkation/Airport of Embarkation 		160300	
	Ammunition		160400	
	Band		160500	
		Army Music	160501	
	Combat Service Support		160600	
	Finance		160700	
	Judge Advocate General		160800	
	Labor		160900	
	Laundry/Bath		161000	
	Maintenance		161100	
	Material		161200	
	Medical		161300	
	Medical Treatment Facility		161400	
	Morale, Welfare and Recreation		161500	
	Mortuary Affairs		161600	
	Multiple Classes of Supply		161700	
	NATO Supply Class I		161800	
	{Reserved for future use}		161900	
	NATO Supply Class III		162000	
	NATO Supply Class IV		162100	
	{Reserved for future use}		162200	
	Ordnance		162300	
	Personnel Services		162400	
	Petroleum, Oil and Lubricants		162500	
	{Reserved for future use}		162600	
	{Reserved for future use}		162700	
	Public Affairs/Public Information		162800	
	Quartermaster		162900	
	Railhead		163000	
	Religious Support		163100	
	Replacement Holding Unit		163200	
	Sea Port of Debarkation/Sea Port of Embarkation 		163300	
	{Reserved for future use}		163400	
	Joint Information Bureau (JIB)		163500	
	Transportation		163600	
		Floating Craft	163601	
	US Supply Class I		163700	Referenced in STANAG 2961 Classes of Supply of NATO Land Forces
	{Reserved for future use}		163800	
	{Reserved for future use}		163900	
	US Supply Class IV		164000	Referenced in STANAG 2961 Classes of Supply of NATO Land Forces
	{Reserved for future use}		164100	
	US Supply Class VI		164200	Referenced in STANAG 2961 Classes of Supply of NATO Land Forces
	US Supply Class VII		164300	Referenced in STANAG 2961 Classes of Supply of NATO Land Forces
	US Supply Class VIII		164400	Referenced in STANAG 2961 Classes of Supply of NATO Land Forces
	US Supply Class IX		164500	Referenced in STANAG 2961 Classes of Supply of NATO Land Forces
	US Supply Class X		164600	Referenced in STANAG 2961 Classes of Supply of NATO Land Forces
	{Reserved for future use}		164700	
	Water Purification		164800	
	Broadcast		164900	
	NATO Supply Class - ALL		165000	NATO Only
	Interpreter/Translator		165100	
	Support		165200	
	Army Field Support		165300	
	Contracting Services		165400	
	Parachute Rigger		165500	
Naval 			170000	Reserved for hierarchical purposes.
	Naval		170100	
Named Headquarters			180000	Reserved for hierarchical purposes.
	Allied Command Europe Rapid Reaction Corps (ARRC)		180100	
	Allied Command Operations		180200	
	International Security Assistance Force (ISAF)		180300	
	Multinational (MN)		180400	
Emergency Operation			190000	
Law Enforcement			200000	
	Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) (Department of Justice)		200100	
	Border Patrol		200200	
	Customs Service		200300	
	Drug Enforcement Administration (DEA)		200400	
	Department of Justice (DOJ)		200500	
	Federal Bureau of Investigation (FBI)		200600	
	Police		200700	
	Prison		200800	
	United States Secret Service (Treas) (USSS)		200900	
	Transportation Security Administration (TSA)		201000	
	Coast Guard		201100	
	US Marshals Service		201200	
	Internal Security Force		201300	
